@epoch31   Train loss:8531.428548177084   Valid loss:8365.091471354166    TIME:19.070369243621826
@epoch32   Train loss:8204.110514322916   Valid loss:8071.751953125    TIME:18.605664253234863
@epoch33   Train loss:7931.829996744792   Valid loss:7816.318033854167    TIME:18.84813165664673
@epoch34   Train loss:7750.701497395833   Valid loss:7791.471354166667    TIME:18.97649049758911
@epoch35   Train loss:7828.998860677083   Valid loss:7797.69140625    TIME:18.818945169448853
@epoch36   Train loss:7801.408121744792   Valid loss:7789.185709635417    TIME:19.088313817977905
@epoch37   Train loss:7670.337809244792   Valid loss:7654.296549479167    TIME:18.977877616882324
@epoch38   Train loss:7535.3935546875   Valid loss:7552.437337239583    TIME:19.022364616394043
@epoch39   Train loss:7606.396647135417   Valid loss:8039.449055989583    TIME:18.781267166137695
@epoch40   Train loss:7734.321126302083   Valid loss:7764.308919270833    TIME:18.84427785873413
@epoch41   Train loss:7613.939697265625   Valid loss:7970.836263020833    TIME:18.732080221176147
@epoch42   Train loss:7780.3740234375   Valid loss:7528.476888020833    TIME:18.720597743988037
@epoch43   Train loss:7539.357666015625   Valid loss:7487.509765625    TIME:18.866676092147827
@epoch44   Train loss:7508.600911458333   Valid loss:7436.382161458333    TIME:18.76810932159424
@epoch45   Train loss:7389.78515625   Valid loss:7580.610026041667    TIME:18.603257179260254
@epoch46   Train loss:7462.612630208333   Valid loss:7440.630533854167    TIME:18.214800119400024
@epoch47   Train loss:7426.349690755208   Valid loss:7470.858072916667    TIME:18.35947012901306
@epoch48   Train loss:7504.487060546875   Valid loss:7414.062174479167    TIME:18.372307300567627
@epoch49   Train loss:7407.9560546875   Valid loss:7332.303385416667    TIME:18.577322006225586
@epoch50   Train loss:7375.420654296875   Valid loss:7423.539713541667    TIME:18.752160787582397
@epoch51   Train loss:7341.743001302083   Valid loss:7313.627604166667    TIME:18.53586721420288
@epoch52   Train loss:7328.553141276042   Valid loss:7427.748697916667    TIME:18.308186769485474
@epoch53   Train loss:7304.642903645833   Valid loss:7308.50048828125    TIME:18.526526927947998
@epoch54   Train loss:7291.535481770833   Valid loss:8158.199869791667    TIME:18.931159257888794
@epoch55   Train loss:7671.808186848958   Valid loss:7645.864908854167    TIME:19.179138660430908
@epoch56   Train loss:7452.215983072917   Valid loss:7359.687174479167    TIME:19.10173535346985
@epoch57   Train loss:7427.180501302083   Valid loss:8371.591145833334    TIME:18.89555788040161
@epoch58   Train loss:7536.911051432292   Valid loss:7476.591634114583    TIME:18.72913098335266
@epoch59   Train loss:7455.749348958333   Valid loss:7390.848795572917    TIME:18.56615424156189
@epoch60   Train loss:7369.078287760417   Valid loss:7459.75    TIME:18.63136601448059
@epoch61   Train loss:7418.351806640625   Valid loss:7428.703450520833    TIME:19.014498233795166
@epoch62   Train loss:7354.612874348958   Valid loss:7292.951497395833    TIME:18.51472544670105
@epoch63   Train loss:7279.845458984375   Valid loss:7273.615559895833    TIME:18.63948082923889
@epoch64   Train loss:7470.863525390625   Valid loss:7391.261393229167    TIME:18.41739249229431
@epoch65   Train loss:7493.953938802083   Valid loss:7536.8154296875    TIME:18.44003915786743
@epoch66   Train loss:7354.22216796875   Valid loss:7385.270182291667    TIME:18.619630575180054
@epoch67   Train loss:7351.180338541667   Valid loss:7333.14208984375    TIME:18.591444969177246
@epoch68   Train loss:7272.220052083333   Valid loss:7280.805338541667    TIME:18.526142597198486
@epoch69   Train loss:7306.34716796875   Valid loss:7406.616536458333    TIME:18.552156925201416
@epoch70   Train loss:7291.803466796875   Valid loss:7263.0947265625    TIME:18.47195291519165
@epoch71   Train loss:7285.595621744792   Valid loss:7265.096354166667    TIME:18.70097804069519
@epoch72   Train loss:7233.290283203125   Valid loss:7566.029296875    TIME:19.132200241088867
@epoch73   Train loss:7449.02685546875   Valid loss:7514.847981770833    TIME:18.615976095199585
@epoch74   Train loss:7427.652099609375   Valid loss:7288.19921875    TIME:18.880390644073486
@epoch75   Train loss:7307.351236979167   Valid loss:7355.411783854167    TIME:19.068129062652588
